Date,AAPL,IBM,GOOG
Jan-15,117.160004,153.309998,531.594604
Feb-15,128.460007,161.940002,555.343933
Mar-15,124.43,160.5,545.000854
Apr-15,125.150002,171.289993,537.340027
May-15,130.279999,169.649994,532.109985
Jun-15,125.43,162.660004,520.51001
Jul-15,121.300003,161.990005,625.609985
Aug-15,112.919998,147.889999,637.609985
Sep-15,110.300003,144.970001,608.419983
Oct-15,119.5,140.080002,710.809998
Nov-15,118.300003,139.419998,742.599976
Dec-15,105.260002,137.619995,758.880005
Jan-16,97.339996,124.790001,742.950012
Feb-16,96.690002,131.029999,697.77002
Mar-16,108.989998,151.449997,744.950012
Apr-16,93.739998,145.940002,693.01001
May-16,99.860001,153.740005,735.719971
Jun-16,95.599998,151.779999,692.099976
Jul-16,104.209999,160.619995,768.789978
Aug-16,106.099998,158.880005,767.049988
Sep-16,113.050003,158.850006,777.289978
Oct-16,113.540001,153.690002,784.539978
Nov-16,110.519997,162.220001,758.039978
Dec-16,115.82,165.990005,771.820007
Jan-17,121.349998,174.520004,796.789978
Feb-17,136.990005,179.820007,823.210022
Mar-17,143.660004,174.139999,829.559998
Apr-17,143.649994,160.289993,905.960022
May-17,152.759995,152.630005,964.859985
Jun-17,144.020004,153.830002,908.72998
Jul-17,148.729996,144.669998,930.5
Aug-17,164,143.029999,939.330017
Sep-17,154.119995,145.080002,959.109985
Oct-17,169.039993,154.059998,1016.640015
Nov-17,171.850006,149.119995,1021.409973
Dec-17,169.229996,153.419998,1046.400024
Jan-18,167.429993,163.699997,1169.939941
Feb-18,178.119995,155.830002,1104.72998
Mar-18,167.779999,153.429993,1031.790039
Apr-18,165.259995,144.960007,1017.330017
May-18,186.869995,141.309998,1084.98999
Jun-18,185.110001,139.699997,1115.650024
Jul-18,190.289993,144.929993,1217.26001
Aug-18,227.630005,146.479996,1218.189941
Sep-18,225.740005,151.210007,1193.469971
Oct-18,218.860001,115.43,1076.77002
Nov-18,178.580002,124.269997,1094.430054
Dec-18,157.740005,113.669998,1035.609985
Jan-19,166.440002,134.419998,1116.369995
Feb-19,170.940002,133.190002,1098.709961
